2, 9020, Note_off_c, 0, 68, 100
2, 9020, Note_off_c, 0, 62, 100
2, 9024, Note_on_c, 0, 75, 80
2, 9024, Note_on_c, 0, 70, 80
2, 9024, Note_on_c, 0, 66, 80
2, 9024, Note_on_c, 0, 63, 80
2, 9116, Note_off_c, 0, 75, 100
2, 9116, Note_off_c, 0, 70, 100
2, 9116, Note_off_c, 0, 66, 100
2, 9116, Note_off_c, 0, 63, 100
2, 9120, Note_on_c, 0, 75, 80
2, 9120, Note_on_c, 0, 70, 80
2, 9120, Note_on_c, 0, 66, 80
2, 9120, Note_on_c, 0, 63, 80
2, 9212, Note_off_c, 0, 75, 100
2, 9212, Note_off_c, 0, 70, 100
2, 9212, Note_off_c, 0, 66, 100
2, 9212, Note_off_c, 0, 63, 100
2, 9216, Note_on_c, 0, 77, 80
2, 9216, Note_on_c, 0, 70, 80
2, 9216, Note_on_c, 0, 65, 80
2, 9404, Note_off_c, 0, 77, 100
2, 9404, Note_off_c, 0, 70, 100
2, 9404, Note_off_c, 0, 65, 100
2, 9696, Note_on_c, 0, 74, 80
2, 9696, Note_on_c, 0, 70, 80
2, 9788, Note_off_c, 0, 74, 100
2, 9788, Note_off_c, 0, 70, 100
2, 9792, Note_on_c, 0, 75, 80
2, 9792, Note_on_c, 0, 70, 80
2, 9884, Note_off_c, 0, 75, 100
2, 9884, Note_off_c, 0, 70, 100
2, 9888, Note_on_c, 0, 75, 80
2, 9888, Note_on_c, 0, 70, 80
2, 9980, Note_off_c, 0, 75, 100
2, 9980, Note_off_c, 0, 70, 100
2, 9984, Note_on_c, 0, 77, 80
2, 9984, Note_on_c, 0, 70, 80
2, 10172, Note_off_c, 0, 77, 100
2, 10172, Note_off_c, 0, 70, 100
2, 10464, Note_on_c, 0, 77, 80
2, 10464, Note_on_c, 0, 70, 80
2, 10556, Note_off_c, 0, 77, 100
2, 10556, Note_off_c, 0, 70, 100
2, 10560, Note_on_c, 0, 79, 80
2, 10560, Note_on_c, 0, 70, 80
2, 10652, Note_off_c, 0, 79, 100
2, 10652, Note_off_c, 0, 70, 100
2, 10656, Note_on_c, 0, 80, 80
2, 10656, Note_on_c, 0, 68, 80
2, 10748, Note_off_c, 0, 80, 100
2, 10748, Note_off_c, 0, 68, 100
2, 10752, Note_on_c, 0, 80, 80
2, 10752, Note_on_c, 0, 68, 80
2, 10940, Note_off_c, 0, 80, 100
2, 10940, Note_off_c, 0, 68, 100
2, 11232, Note_on_c, 0, 77, 80
2, 11232, Note_on_c, 0, 70, 80
2, 11324, Note_off_c, 0, 77, 100
2, 11324, Note_off_c, 0, 70, 100
2, 11328, Note_on_c, 0, 79, 80
2, 11328, Note_on_c, 0, 70, 80
2, 11420, Note_off_c, 0, 79, 100
2, 11420, Note_off_c, 0, 70, 100
2, 11424, Note_on_c, 0, 80, 80
2, 11424, Note_on_c, 0, 68, 80
2, 11516, Note_off_c, 0, 80, 100
2, 11516, Note_off_c, 0, 68, 100
2, 11712, Note_on_c, 0, 80, 80
2, 11712, Note_on_c, 0, 68, 80
2, 11900, Note_off_c, 0, 80, 100
2, 11900, Note_off_c, 0, 68, 100
2, 12096, Note_on_c, 0, 80, 80
2, 12096, Note_on_c, 0, 68, 80
2, 12284, Note_off_c, 0, 80, 100
